sr,region,dummy,act
1,Andaman and Nicobar Islands,0,
2,Andhra Pradesh,1,"The Andhra Pradesh Prevention of Beggary Act, 1977"
3,Arunachal Pradesh,0,
4,Assam,1,"The Assam Prevention of Begging Act, 1964"
5,Bihar,1,"The Bihar Prevention of Begging Act, 1951"
6,Chandigarh,0,
7,Chhattisgarh,1,"Adopted the Madhya Pradesh Bikshavirty Nivaran Adhiniyam, 1973"
8,Dadra and Nagar Haveli,0,
9,Daman and Diu,0,
10,Delhi,1,"Adopted the Bombay Prevention of Begging Act, 1959"
11,Goa,1,"The Goa, Daman & Diu Prevention of Begging Act, 1972"
12,Gujarat,1,"Adopted the Bombay Prevention of Begging Act, 1959"
13,Haryana,1,"The Haryana Prevention of Begging Act, 1971"
14,Himachal Pradesh,1,"The Himachal Pradesh Prevention of Begging Act, 1979"
15,Jammu and Kashmir,0,
16,Jharkhand,1,"Adopted the Bihar Prevention of Begging Act, 1951"
17,Karnataka,1,"The Karnataka Prevention of Begging Act, 1975"
18,Kerala,1,"The Madras Prevention of Begging Act, 1945, the Travancore Prevention of Begging Act, 1120 and the Cochin Vagrancy Act, 1120 are in force in different areas of the State."
19,Lakshadweep,0,
20,Madhya Pradesh,1,"The Madhya Pradesh Bikshavirty Nivaran Adhiniyam, 1973"
21,Maharashtra,1,"The Bombay Prevention of Begging Act, 1959"
22,Manipur,0,
23,Meghalaya,0,
24,Mizoram,0,
25,Nagaland,0,
26,Odisha,0,
27,Puducherry,0,
28,Punjab,1,"The Punjab Prevention of Begging Act, 1971"
29,Rajasthan,0,
30,Sikkim,1,"The Sikkim Prohibition of Beggary Act, 2004"
31,Tamil Nadu,1,"The Madras Prevention of Begging Act, 1945"
32,Tripura,0,
33,Uttar Pradesh,1,"The Uttar Pradesh Prohibition of Begging Act, 1972"
34,Uttarakhand,1,"Adopted the Uttar Pradesh Prohibition of Begging Act, 1972"
35,West Bengal,1,"The West Bengal Vagrancy Act, 1943"
36,Telangana,0,
